[main] ERROR computelogic.ComputeLogicImplWithBurstsort  - Error computing score java.lang.StringIndexOutOfBoundsException: begin 1, end -1, length 0
[main] ERROR computelogic.ComputeLogicImpl  - Error computing score java.lang.StringIndexOutOfBoundsException: begin 1, end -1, length 0
[main] ERROR computelogic.ComputeLogicImplWithTrie  - Error computing score java.lang.StringIndexOutOfBoundsException: begin 1, end -1, length 0
[main] ERROR computelogic.ComputeLogicImplWithBurstsort  - Error computing score java.lang.StringIndexOutOfBoundsException: begin 1, end -1, length 0
[main] ERROR computelogic.ComputeLogicImpl  - Error computing score java.lang.StringIndexOutOfBoundsException: begin 1, end -1, length 0
[main] ERROR computelogic.ComputeLogicImplWithTrie  - Error computing score java.lang.StringIndexOutOfBoundsException: begin 1, end -1, length 0
[main] ERROR computelogic.ComputeLogicImplWithBurstsort  - Error computing score java.lang.StringIndexOutOfBoundsException: begin 1, end -1, length 0
[main] ERROR computelogic.ComputeLogicImpl  - Error computing score java.lang.StringIndexOutOfBoundsException: begin 1, end -1, length 0
[main] ERROR computelogic.ComputeLogicImplWithTrie  - Error computing score java.lang.StringIndexOutOfBoundsException: begin 1, end -1, length 0
[main] ERROR computelogic.ComputeLogicWithBurstsortImpl  - Error computing score java.lang.StringIndexOutOfBoundsException: begin 1, end -1, length 0
[main] ERROR computelogic.ComputeLogicWithJavaSortImpl  - Error computing score java.lang.StringIndexOutOfBoundsException: begin 1, end -1, length 0
[main] ERROR computelogic.ComputeLogicWithTrieImpl  - Error computing score java.lang.StringIndexOutOfBoundsException: begin 1, end -1, length 0
[main] ERROR computelogic.ComputeLogicWithBurstsortImpl  - Error computing score java.lang.StringIndexOutOfBoundsException: begin 1, end -1, length 0
[main] ERROR computelogic.ComputeLogicWithJavaSortImpl  - Error computing score java.lang.StringIndexOutOfBoundsException: begin 1, end -1, length 0
[main] ERROR computelogic.ComputeLogicWithTrieImpl  - Error computing score java.lang.StringIndexOutOfBoundsException: begin 1, end -1, length 0
[main] ERROR computelogic.ComputeLogicWithBurstsortImpl  - Error computing score java.lang.StringIndexOutOfBoundsException: begin 1, end -1, length 0
[main] ERROR computelogic.ComputeLogicWithJavaSortImpl  - Error computing score java.lang.StringIndexOutOfBoundsException: begin 1, end -1, length 0
[main] ERROR computelogic.ComputeLogicWithTrieImpl  - Error computing score java.lang.StringIndexOutOfBoundsException: begin 1, end -1, length 0
[main] ERROR computelogic.ComputeLogicWithBurstsortImpl  - Error computing score java.lang.StringIndexOutOfBoundsException: begin 1, end -1, length 0
[main] ERROR computelogic.ComputeLogicWithJavaSortImpl  - Error computing score java.lang.StringIndexOutOfBoundsException: begin 1, end -1, length 0
[main] ERROR computelogic.ComputeLogicWithTrieImpl  - Error computing score java.lang.StringIndexOutOfBoundsException: begin 1, end -1, length 0
[main] ERROR computelogic.ComputeLogicWithBurstsortImpl  - Error computing score java.lang.StringIndexOutOfBoundsException: begin 1, end -1, length 0
[main] ERROR computelogic.ComputeLogicWithJavaSortImpl  - Error computing score java.lang.StringIndexOutOfBoundsException: begin 1, end -1, length 0
[main] ERROR computelogic.ComputeLogicWithTrieImpl  - Error computing score java.lang.StringIndexOutOfBoundsException: begin 1, end -1, length 0
[main] ERROR computelogic.ComputeLogicWithBurstsortImpl  - Error computing score java.lang.StringIndexOutOfBoundsException: begin 1, end -1, length 0
[main] ERROR computelogic.ComputeLogicWithJavaSortImpl  - Error computing score java.lang.StringIndexOutOfBoundsException: begin 1, end -1, length 0
[main] ERROR computelogic.ComputeLogicWithTrieImpl  - Error computing score java.lang.StringIndexOutOfBoundsException: begin 1, end -1, length 0
[main] ERROR computelogic.ComputeLogicWithBurstsortImpl  - Error computing score java.lang.StringIndexOutOfBoundsException: begin 1, end -1, length 0
[main] ERROR computelogic.ComputeLogicWithJavaSortImpl  - Error computing score java.lang.StringIndexOutOfBoundsException: begin 1, end -1, length 0
[main] ERROR computelogic.ComputeLogicWithTrieImpl  - Error computing score java.lang.StringIndexOutOfBoundsException: begin 1, end -1, length 0
